C90L1_2	C90L2_1	C90L3_3	C90L4_1	C90L5_2	C90M1a_2	C90M1b_1	C90M1c_1	C90N1_1	C90N2_1	C90N3_1	C90N4_1	C90P1b_2	C90P1c_1	C90P1d_1	C90P1e_3	C90P1f_1	C90P1g_1	C90P1j_3	C90P1k_2	C90Ad1_2	C90Ad2a_3	C90Ad2b_2
2946	2175	3775	4191	5448	3688	3656	3439	3744	3198	4188	3577	6502	3178	2150	4757	6382	6012	922	5469	4973	3401	2640
14261	10491	15627	15854	21486	17522	19057	16935	18776	15160	18745	16941	26027	17263	10103	22187	27734	25831	4614	23759	21808	16078	11018
24155	18400	26319	24958	30443	28622	29027	28841	29474	25396	30296	28487	30176	29239	16031	29534	30247	30185	8210	29284	29859	26633	18089
5490	3911	4430	4634	6630	8476	9599	6763	6990	5245	6540	6366	7846	7596	3638	7565	8213	7918	2484	9171	7943	5881	4013
3722	1894	1274	1775	3111	6907	8617	5682	5372	3161	3907	4121	4230	6963	2670	3758	2848	3071	2191	7599	6161	4234	2099
3700	1255	1003	1458	2777	5724	7945	5431	5538	3000	3678	3771	3938	7107	2848	4384	2761	2844	2251	6354	6409	4457	1492
3512	864	1161	2086	2487	3466	5035	4038	4834	2525	3271	3361	3785	4956	2478	3898	2424	2628	1435	4496	5484	3746	781
967	246	213	321	649	934	1631	1131	1349	717	771	949	1053	1409	900	1093	668	644	289	1343	1536	1050	346
