	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00964195059581427	0.0142628206933035	0.0124795830302296	0.0109448249786927	0.00142882933632589	0.00539704505278577	0.00622515067487903	0.00590280696013768	0.00143350516763802	0.00983597101462472	0.00531179154059373	0.000669888930132352	0.0067289810378996	0.000655556838650097	0.000910797951582752	0.0100012622193003	0.00154448496971857	0.0159600417116701	0.0119264950112314	0.00636501267295131	0.00615959372201387	0.00904879173242308	0.0107941112129089	0.0157231239711366	0.00977349268962814	0.00567458790185093	0.0206031718772257	0.0212557694230958	0.0190759582181451	0.00664494906508403	0.0161336889582056	0.0188374672941247	0.0109961426849668	0.0128709350293838	0.00744625004159425	0.00501540930660372	0.00993189920273871	0.000866715832327718	0.00785784736433767	0.00383256734728858	0.0031389813509605	0.000453902078035715	0.0117502873577984	0.00255434717979616	0.00463209548022881	0.0126671658678655	0.00344138218306973	0.00884473201199538	0.0101413994411173	0.0058083743011052	0.00889488345333718	0.00893837163603696	0.0091844259968872	0.0097349646959571	0.00883223345039066	0.00755912170063634	0.00977215409407766	0.00933316112778871	0.0168234204765723	0.00516845430844521	0.00362165083582766	0.0135908264823986	0.0136844344130077	0.00894036814965133	0.00920162672296911	0.00667755827306375	0.00292178777278459	0.00764383980358952	0.0126019164111785	0.00687113613976535	0.0114592686071067	0.00789679429588632	0.0130997707555475	0.0158187671316867	0.00725583749414235	0.0147908770037096	0.00469976225462112	0.0042714523369136	0.00772480533997039	0.00810515431876721	0.00187220544904973	0.00215666224370855	0.00438754595159872	0.00733356273456575	0.00568061299959796	0.00378210853127786
A549_G1_1A_2	0.00964195059581427	0	0.0046211189466412	0.0028377663236937	0.00130292835939499	0.00821316600567966	0.00424499263089849	0.00341688072374931	0.0037392275035001	0.0110753950897688	0.000194027648694615	0.00433024649456794	0.010311813143307	0.00291304399243893	0.00898641623345733	0.00873118297869608	0.000359325235636721	0.00809751330886117	0.00631847137107635	0.002284647473798	0.00327701715072485	0.00348243836379631	0.000593179209497112	0.00115220769782469	0.00608153400241567	0.000131546964430855	0.00396744825519768	0.0109620699794046	0.0116147460915746	0.00943468469021322	0.00299707716103137	0.00649213326833109	0.00919616851418102	0.00135424845253872	0.00322914151957291	0.00219576260697993	0.00462662952079555	0.000289959515947595	0.00877526377652666	0.00178415642236963	0.00580946798641668	0.0065030469753134	0.00918806443193528	0.00210843047874608	0.00708767238714016	0.00500994338133994	0.00302536013717778	0.00620064964968615	0.000797245316888536	0.000499468029549174	0.00383366091118204	0.000747092334983064	0.000703602800944187	0.00045754052614794	9.30175312247093e-05	0.000809744259543392	0.0020828886451748	0.000130208318766958	0.000308800390493231	0.0071819251867274	0.00447358419320903	0.0132634175428239	0.00394907862941615	0.00404269278084715	0.000701606224947064	0.000440339229867317	0.00296446749534338	0.00672023760423508	0.00199816875055871	0.00296010683280838	0.00277088674595469	0.00181739680875248	0.00174520858598827	0.00345799133959459	0.00617718503666299	0.00238617882088799	0.00514921384685043	0.00494227668215591	0.00537058553606227	0.00191720145123232	0.00153684352786179	0.0115140736358917	0.00748534987157867	0.00525449234767338	0.00230845211698012	0.00396142311780869	0.00585992641639748
A549_G1_1A_3	0.0142628206933035	0.0046211189466412	0	0.00178336169633401	0.00331819834725154	0.01283409441733	0.00886604374794812	0.00803795020277917	0.00836029013142616	0.0156961991238423	0.00442709284109663	0.00895129557963201	0.0149326533126201	0.00753412342391539	0.013607314018205	0.0133520911157566	0.00426179646142801	0.0127184461124142	0.00169737160448305	0.00233648104718097	0.0078980894849519	0.00810350648006011	0.00521429259677474	0.00346891842366344	0.00146043094235737	0.0044895730430465	0.00858850580417036	0.00634107493467818	0.00699377186981723	0.00481364678276929	0.00761815499659665	0.00187103604252107	0.00457512465668317	0.00326687843466812	0.00139198548362655	0.00681685461822833	0.00924767133580444	0.00433116168663185	0.0133961701427722	0.00640525481051313	0.010430477598272	0.0111240353283738	0.0138089538683219	0.00251269797139926	0.0117086414541555	0.00963097531935951	0.00159576746393704	0.0108216474876984	0.00541835649806623	0.0041216546141704	0.00845472146049811	0.00536820407222018	0.00532471501310982	0.00507865529665327	0.0045281021725022	0.00543085530066595	0.00670398246620806	0.00449091167833906	0.00492991660131238	0.00256083911127424	0.00909462980225328	0.0178841060809971	0.000672045071647836	0.000578430354622442	0.00532271845875502	0.00506145417095138	0.00758554595327336	0.011341218938516	0.00661926389963495	0.00166102092833066	0.00739196881886272	0.0028037312803258	0.00636630754576888	0.00116313481496014	0.00155608328214247	0.00700726767444642	0.000528099767578133	0.00956331040268992	0.00999160769219033	0.00653829784522215	0.00615794545257834	0.0161348559355521	0.0121063051043393	0.00987551770444699	0.00692954227534199	0.00858248080332319	0.0104809345409685
A549_G1_1B_1	0.0124795830302296	0.0028377663236937	0.00178336169633401	0	0.0015348401714131	0.0110508314465974	0.00708272563531373	0.00625462337837738	0.00657696658375831	0.013912989767576	0.00264373924172655	0.00716797841852844	0.0131494285133973	0.00575079176962405	0.0118240643840727	0.0115688369857254	0.00247844207150047	0.0109351812198392	0.00348072923155487	0.000553120243479917	0.0061147612841161	0.00632018031026422	0.00343094328389665	0.00168556076955063	0.00324378937520013	0.00270621975237438	0.0068051846645538	0.00812440126387394	0.00877709144413629	0.00659698665520963	0.00583482412316113	0.00365439303001492	0.00635846635711597	0.00148352008832918	0.000391376588655293	0.00503351670105416	0.00746435756209728	0.0025478076238229	0.0116129167826151	0.00462191362432291	0.00864717857394645	0.00934074586939623	0.0120257078515811	0.000729337541115407	0.00992536058529628	0.0078476661097421	0.000187594439130772	0.00903835377485023	0.00363500843722609	0.0023382995837586	0.00667139890036984	0.00358485569829657	0.00354136637052444	0.00329530518367854	0.00274474907494208	0.00364750731840417	0.0049206436290139	0.0027075583943448	0.00314656564042425	0.0043441931499485	0.00731131426396317	0.0161009455873244	0.00111131713999813	0.00120493182252319	0.00353936980390326	0.00327810395834519	0.00580221477563939	0.00955793261444047	0.00483592438360355	0.000122340908554883	0.00560863586612481	0.00102037156082867	0.00458296606248883	0.000620227379242605	0.0033394413989708	0.0052239313497082	0.00231146062235173	0.00778000037235326	0.00820830296542866	0.00475495768978807	0.00437460241601527	0.0143516558273457	0.0103230303547405	0.0080922115146388	0.00514620529445213	0.00679915959917759	0.00869763618964794
A549_G1_1B_2	0.0109448249786927	0.00130292835939499	0.00331819834725154	0.0015348401714131	0	0.00951605443250551	0.0055479089934509	0.00471980087310706	0.00504214626240128	0.0123782532511689	0.00110890082008338	0.0056331624273276	0.0116146802119198	0.00421596610195286	0.0102892973227191	0.0100340665584645	0.000943603295766395	0.00940040277988484	0.00501555902963919	0.000981720251404767	0.00457993787026909	0.00478535823899235	0.0018961069974817	0.000150720749427934	0.00477862033452666	0.00117138147305469	0.00527036596525585	0.00965919496033012	0.010311878039067	0.00813179502198532	0.00429999896165509	0.00518922193486642	0.0078932767679046	5.13201274584755e-05	0.00192621631117509	0.0034986870589824	0.0059295439013563	0.00101296899271017	0.01007814693099	0.00308708198121819	0.00711237527302054	0.00780594943227767	0.0104909435057658	0.000805502980416292	0.0083905703877148	0.00631285562060338	0.00172243441801987	0.00750355427332387	0.00210017282554015	0.000803460533380682	0.00513657924256559	0.00205001991617854	0.00200653044301907	0.00176046847639757	0.00120991088572999	0.00211267174968386	0.00338581341792512	0.00117272011815208	0.00161172849702087	0.00587901815530658	0.0057764993865557	0.0145662468103531	0.0026461555610159	0.00273977002908435	0.00200453386976996	0.00174326719927397	0.00426738941669548	0.0080231384468192	0.00330109375549458	0.0016571809589351	0.00407380936152227	0.000514468923485664	0.00304813424059368	0.00215506675475248	0.00487427189748897	0.00368910270231916	0.00384629550656239	0.00624518931039486	0.00667349562275777	0.00322012667121567	0.00283976966858062	0.0128169264052112	0.00878824463907978	0.00655740314189575	0.00361137623577232	0.00526434085625291	0.0071628333683688
A549_G1_1B_3	0.00142882933632589	0.00821316600567966	0.01283409441733	0.0110508314465974	0.00951605443250551	0	0.00396822785825681	0.00479633825488018	0.00447399258998025	0.00286233216503392	0.00840718839612993	0.00388297389832778	0.00209871746557419	0.00530017189979026	0.000773272786128328	0.000518031653203839	0.00857248131357909	0.000115655734852642	0.0145313427799763	0.0104977362929132	0.00493620113541607	0.00473078089594792	0.00762000137483946	0.00936533894556471	0.0142944210320925	0.0083447094316458	0.00424577222162396	0.0191745638879606	0.019827176100469	0.0176473177171239	0.00521613935980847	0.0147049930028341	0.017408821945553	0.00956737273058903	0.0114421886987393	0.0060174460669677	0.00358659017143661	0.00850311757455796	0.000562113781160776	0.00642904661301013	0.00240374324027708	0.00171015506343165	0.000974927510211838	0.0103215264376597	0.00112551947702517	0.00320327456103558	0.0112384167809408	0.00201255677938574	0.00741593976102751	0.00871262001135524	0.00437955938175949	0.00746609166339591	0.00750958024814489	0.00775563692350119	0.00830618104579678	0.00740344108496984	0.00613031859105665	0.0083433708224414	0.00790437348624187	0.0153947366700871	0.00373963593181473	0.00505046972716828	0.0121620902569868	0.0122556995436589	0.0075115767802562	0.00777283781391222	0.00524874878693603	0.00149296091432098	0.00621503735265953	0.0111731664513751	0.00544232797917739	0.0100305041259233	0.00646799385938046	0.0116710275749943	0.0143900658029774	0.00582703209254842	0.0133621588955036	0.00327094163834099	0.00284262989049951	0.0062960035260144	0.00667635559533586	0.00330103126121921	0.000727833799562542	0.00295872398079505	0.00590475791054683	0.0042517973531881	0.00235328424731781
A549_G1_1C_1	0.00539704505278577	0.00424499263089849	0.00886604374794812	0.00708272563531373	0.0055479089934509	0.00396822785825681	0	0.000828116620024243	0.000505768278013529	0.00683052920447952	0.00443901884882114	8.52544777504221e-05	0.00606692526522103	0.00133195509847055	0.00474149487449067	0.00448625585488155	0.00460431511889624	0.0038525728240245	0.0105633536423207	0.00652961536441612	0.000967980762961649	0.000762558690339197	0.00365181702166203	0.00539719000666838	0.0103264227763621	0.00437653863908912	0.00027754621036938	0.0152067879170465	0.0158594353269129	0.0136794644099541	0.00124792169733623	0.0107370106570162	0.0134409571992257	0.00559922849921176	0.00747409415256114	0.00204923751143546	0.000381639833662879	0.00453494996268585	0.00453033763260396	0.00246084351223858	0.00156449052128373	0.00225807886002941	0.0049431477832613	0.00635340089081833	0.00284271340884691	0.000764957141324614	0.00727031631048579	0.00195567725927018	0.00344775188311314	0.00474445672528933	0.000411334347208224	0.00349790463977434	0.00354139397163755	0.00378745498454431	0.00433800949137563	0.00343525299536309	0.00216211147894821	0.00437520000334418	0.00393619426025678	0.0114267822097753	0.000228593266971176	0.009018625661889	0.0081940176619359	0.00828762991980539	0.00354339053819022	0.00380465618521256	0.00128053145601294	0.00247527274917344	0.00224683134993035	0.00720506411087352	0.00147411268480333	0.00606237116107008	0.00249979130200485	0.00770293983398818	0.0104220712075684	0.00185882119183633	0.00939412642626195	0.000697289797852838	0.00112560298879669	0.0023277986044414	0.0027081560253103	0.00726922128127758	0.00324039776587527	0.00100950856413368	0.00193654795352474	0.000283571384770022	0.00161494957706313
A549_G1_1C_2	0.00622515067487903	0.00341688072374931	0.00803795020277917	0.00625462337837738	0.00471980087310706	0.00479633825488018	0.000828116620024243	0	0.00032234839498031	0.00765862868106061	0.00361090743617361	0.000913371073533678	0.00689502818471081	0.000503838697092092	0.0055696028543417	0.00531436467602834	0.00377620414670408	0.00468068354823721	0.00973527027771946	0.00570151081989399	0.000139864187116894	6.55579460936671e-05	0.00282370375364206	0.00456908139228371	0.0094983378802642	0.00354842706454895	0.000550570459321281	0.0143787417626094	0.0150313954956039	0.0128514045087849	0.000419805248016491	0.00990892843762342	0.0126128952844911	0.00477112055044056	0.00664599363294144	0.0012211217059096	0.00120975630302136	0.00370683880350807	0.00535844631151647	0.00163272819948577	0.00239260591965602	0.00308619320436796	0.00577125506805143	0.00552529565878415	0.00367082661974929	0.00159307336388164	0.00644221487401855	0.00278379210191502	0.00261963819953424	0.00391634614033661	0.000416782328979722	0.00266979105583549	0.00271328047540626	0.00295934200764082	0.00350989781825839	0.00260713928720425	0.00133399579757653	0.00354708842536348	0.00310808161629048	0.0105987047287692	0.00105670980822131	0.00984671312971356	0.00736592059461898	0.00745953332579076	0.00271527704600356	0.00297654324606882	0.000452415024756278	0.00330338669862652	0.00141871576720998	0.00637696238644922	0.000645996374838202	0.0052342648373042	0.00167167604157515	0.00687484037574857	0.0095939869254194	0.00103070519551688	0.00856603585147771	0.00152540607092527	0.00195371889131096	0.0014996831203841	0.00188004106155293	0.00809731860514052	0.0040685100775334	0.00183762457892244	0.00110843203217671	0.000544545285326311	0.00244306490933142
A549_G1_1C_3	0.00590280696013768	0.0037392275035001	0.00836029013142616	0.00657696658375831	0.00504214626240128	0.00447399258998025	0.000505768278013529	0.00032234839498031	0	0.0073362874504348	0.00393325403587291	0.000591022746979663	0.00657268556493058	0.000826187039338018	0.00524725817978892	0.00499201965762141	0.00409855058557717	0.00435833774840851	0.0100576063523624	0.0060238548802449	0.000462212574017876	0.000256790451193358	0.00314605102507127	0.00489142696422638	0.00982067453586088	0.00387077372326741	0.000228222080170322	0.014701063650655	0.0153537149641603	0.0131737316499312	0.000742153603544587	0.0102312640776215	0.0129352231941411	0.00509346587623668	0.00696833618714453	0.00154346986224211	0.000887408044215364	0.00402918531070793	0.00503610135131236	0.00195507619042847	0.00207025815361512	0.00276384589312352	0.00544891067698856	0.0058476399754568	0.00334847978720063	0.00127072522573165	0.00676455777204849	0.00246144457727131	0.00294198561960811	0.00423869243743859	9.44339390575208e-05	0.00299213844035376	0.00303562782859078	0.00328168917445046	0.0038322445128792	0.00292948671603452	0.00165634391285852	0.00386943508533429	0.00343042866300969	0.0109210385685553	0.000734361511567807	0.00952437671386714	0.00768826185118376	0.00778187440411654	0.00303762439774331	0.00329889039930108	0.000774763375261694	0.00298103955500953	0.00174106384953892	0.00669930539238495	0.000968344690667836	0.00555660956026538	0.00199402401465463	0.00719718253149103	0.00991632334816828	0.00135305341391526	0.00888837465775539	0.00120305790876096	0.00163137090088254	0.0018220311694853	0.00220238893252954	0.00777497824059144	0.00374616362052676	0.00151527653732856	0.00143078022639493	0.000222196905668298	0.00212071717224493
A549_G1_1D_1	0.00143350516763802	0.0110753950897688	0.0156961991238423	0.013912989767576	0.0123782532511689	0.00286233216503392	0.00683052920447952	0.00765862868106061	0.0073362874504348	0	0.0112694132130425	0.00674527628103547	0.000763616530593071	0.00816245492688073	0.00208906122256709	0.00234430189757175	0.011434702428895	0.00297798750713621	0.0173933899335052	0.0133599098112908	0.00779848956487405	0.00759307224289683	0.010482242983225	0.0122275414587306	0.0171564766007498	0.0112069356318425	0.00710807008004996	0.0220364212718108	0.0226890030372119	0.0205092427256985	0.00807842366062019	0.0175670339101049	0.0202707570547666	0.0124295702797467	0.0143043358564687	0.00887971757635856	0.00644889602990161	0.0113653402506385	0.0023002198592951	0.00929131099169463	0.00526606099478799	0.0045724783214283	0.00188740675526636	0.0131837046551176	0.0039878465270891	0.00606558462077581	0.0141005697935196	0.00487487777180608	0.0102781854962824	0.0115748379406489	0.00724185549692611	0.0103283363930309	0.0103718241012004	0.0106178757373565	0.011168408094684	0.0102656870699681	0.0089925881828114	0.011205597052176	0.0107666091883776	0.0182567521123814	0.00660194002021959	0.00218815021898934	0.015024215993834	0.0151178224108615	0.0103738205929849	0.0106350762704298	0.00811103259535788	0.00435528567155368	0.00907730548633918	0.0140353213193008	0.00830460881538201	0.012892689953175	0.0093302575436623	0.0145331680479646	0.0172521179893326	0.00868930677216275	0.016224246376298	0.00613325098053404	0.00570494360003697	0.00915827025115374	0.00953861550689523	0.000438700752534126	0.00359016298580606	0.00582103654750145	0.00876703130591387	0.00711409513397785	0.00521560243889278
