	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_1	A549_G1_1C_2	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_1	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1F_1	A549_G1_1F_2	A549_G1_1F_3	A549_G1_1G_1	A549_G1_1G_3	A549_G1_1H_1	A549_G1_1H_2	A549_G1_1H_3	A549_G1_2A_1	A549_G1_2A_2	A549_G1_2A_3	A549_G1_2B_1	A549_G1_2B_2	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_2	A549_G1_2C_3	A549_G1_2D_1	A549_G1_2D_2	A549_G1_2D_3	A549_G1_2E_1	A549_G1_2E_2	A549_G1_2E_3	A549_G1_2F_1	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_2	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_1	A549_G2_3D_2	A549_G2_3E_2	A549_G2_3E_3	A549_G2_3F_1	A549_G2_3F_2	A549_G2_3F_3	A549_G2_3G_1	A549_G2_3G_2	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_2	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549_G2_4A_3	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.00691909404070417	0.00909222541119833	0.0218522402792281	0.00917255868263336	0.0106734811688638	0.0192953381398363	0.00884551041632937	0.00626452909830401	0.0198675564719998	0.0353738603640165	0.0211202779025014	0.00825435514778837	0.0202506503542663	0.0105431697901251	0.0164853500508263	0.0316876876119178	0.0141532583843287	0.00676829603149427	0.00843612963399505	0.00509747428241614	0.0405434304516846	0.00973286098319005	0.00845682227071376	0.0121880547217069	0.0293297954758163	0.0267088291607123	0.00645271300556797	0.00895213379453018	0.0141588376942336	0.0276427741101094	0.0271973601787021	0.0122730477505801	0.0208321818465403	0.00682680409339722	0.0116868532833864	0.0296679723780026	0.00916236389042475	0.0288609841552206	0.00470268545797743	0.0382483606971685	0.0129217469670586	0.00802320438916536	0.00814731553961035	0.00671979052639316	0.00752801259358513	0.0323725657550336	0.0117139631513187	0.0201980347417469	0.0153727627933921	0.016203765404754	0.01682012239401	0.00901899549122699	0.0211484531377355	0.0239647631277408	0.0118787837335777	0.00863300857170592	0.00851774234877665	0.00423719601560374	0.025855951844615	0.00476663754747602	0.0061972509062971	0.0145439504896951	0.0128167505502671	0.00987346059686342	0.00464092341243288	0.00403264497199973	0.0201981969117808	0.0100688435178823	0.0232091639162303	0.00546888743207944	0.0168947125113033	0.0155725340991334	0.00801984192181367	0.0128382210466092	0.0133847225579436	0.0214244427210516	0.0212763454679147	0.0213249055399779	0.00928860943699853	0.0181352829517347	0.0224115570720593	0.0311846781995243	0.0492650086202091	0.321111024902278	0.0117115289379545	0.0115795124545543
A549_G1_1A_2	0.00691909404070417	0	0.0131430435130634	0.0196357577264682	0.00799215100959205	0.00817681607647453	0.0236343533430344	0.0100093189209887	0.0118259539543534	0.0207925581194259	0.0341770180184004	0.0245234269616022	0.0127140054168454	0.0242820851410041	0.00987601158298973	0.0165241245263353	0.0346466838737776	0.019695850265481	0.00633525151017371	0.014900916141574	0.00288030076041846	0.0387932305686652	0.00795574491176778	0.00369428209942959	0.00891870542975675	0.0321593758192728	0.0255979370073364	0.0109571282447906	0.012623970124639	0.0116464604299042	0.0284569813278154	0.026858715234467	0.0189821598522663	0.0178087681112805	0.0112459770775624	0.0173548981635678	0.0281594707485686	0.0148327558679911	0.0325377016950207	0.00708487471315495	0.037949470772945	0.0157818128782759	0.0116357915121476	0.00960292073383803	0.012594649123039	0.0117474959654858	0.0304688890884767	0.0120141752205862	0.0212685748537091	0.0150365100152293	0.0188046490478775	0.0136595535744988	0.0109459244093065	0.0231849569219828	0.0277117993865095	0.0157600155385028	0.00792609513324445	0.0114152575662337	0.00859255401178804	0.0283314967819419	0.0102467207782256	0.00607656949453935	0.0184177839904035	0.0175300466228946	0.0144209056133548	0.0106839232216905	0.00529261892773099	0.0253346474286828	0.0113799012039296	0.0225737107942626	0.00974922145138243	0.0200836032038526	0.0137957879486175	0.0140087889670786	0.0171995499891334	0.0159065463656347	0.021947268814109	0.0228351311154307	0.0252591439512569	0.0155004597524453	0.0204062281117476	0.0192065692178776	0.0289239134674171	0.0475703581314524	0.318091715436153	0.0132389461563755	0.0107485212055903
A549_G1_1A_3	0.00909222541119833	0.0131430435130634	0	0.0206270938080527	0.00991095128152228	0.0106692476566248	0.0204691420983769	0.00533618615871599	0.00417169628611233	0.0174713414216798	0.0329555151406636	0.0217127064314428	0.0103370676952783	0.0216242208122635	0.0075996061388608	0.011787517983874	0.0331678609600413	0.0108180937265257	0.0137444717699097	0.00853787928699957	0.0127192216838799	0.0374771888983076	0.00887645365320833	0.0125803176341014	0.0137003366170512	0.0330630700954322	0.0239265778850324	0.00401276403380305	0.00163481455041965	0.0126429816815299	0.0227942126024407	0.0240160608364216	0.0099350675899466	0.0209932051384425	0.00716455822173584	0.0156753246261931	0.0270338294846838	0.00388098693733952	0.0321732956059028	0.00974759832186388	0.0350014602646512	0.0162484108480416	0.0154360425093752	0.0125155499645792	0.00673184847958478	0.00962970231709858	0.0307958947908309	0.00660480432762598	0.0216096308973444	0.0132826535631194	0.017943057887076	0.0154122752666846	0.00644085119798448	0.0159867516990542	0.0250869857633721	0.011786948022944	0.00753955127509536	0.00850214657432963	0.0111942567137564	0.0277788259852776	0.00522350663798187	0.0101309667567029	0.0163118950590292	0.0184043586768271	0.0124694751986043	0.00857532568761329	0.0121123988075939	0.0210677563722968	0.00474567083590129	0.0209947513284621	0.0062257368558147	0.0169311891551871	0.0141227155001871	0.00576187006435662	0.0129529051315532	0.0193825696240124	0.0191473707121917	0.0239419346171347	0.022528761670386	0.00605838715456485	0.0181495938151896	0.0214443019347066	0.0312790608845828	0.0509028281095364	0.32255275186656	0.00502789336008665	0.0123992679175673
A549_G1_1B_1	0.0218522402792281	0.0196357577264682	0.0206270938080527	0	0.0129849011668273	0.0130143783051663	0.0399810682431853	0.0161658834866438	0.0230553450060009	0.00952998228252657	0.0148720865553347	0.0409900697679176	0.0285084904612737	0.0409718477925093	0.0159609929922597	0.0101445220291657	0.0521830736361313	0.0223118567684582	0.0182881368549862	0.0275173290423494	0.0218838060481932	0.0191863378796732	0.0156509603243194	0.0159772822026635	0.0107386682011272	0.0508140216673677	0.00671425560191445	0.0226864467316913	0.0190489522363158	0.0102315806873242	0.0132963337801822	0.00911828839231461	0.0276803370911536	0.00343703214958508	0.0254728012980054	0.0331283424781331	0.00866153725340688	0.0233924075960565	0.0505557488966813	0.0241209355905676	0.0192687919994571	0.0184745198146642	0.0295318007105408	0.0275398485676143	0.0256694603739547	0.0274845879683224	0.0111671293121358	0.017272460004212	0.0384154093535939	0.00764333442907638	0.0359717680911204	0.0086167448709541	0.0231427025472286	0.0136523451732557	0.0445226513425345	0.0309172639820559	0.0182266899347194	0.0153707408684097	0.0257973482710892	0.0461122607471802	0.0202925902314734	0.0230310335317367	0.0350967311759592	0.026940826420981	0.0199052554911065	0.0255302452771274	0.020179098048852	0.0408686501887317	0.0186127037247785	0.00560866264004614	0.0181559776959238	0.0359506899874951	0.00686030715129482	0.021844779102953	0.0324289450512628	0.0347457156164159	0.00875071307807724	0.0409973564498573	0.0419387414765117	0.0235427114573937	0.0363932720638438	0.00359754064344636	0.0117166662160941	0.0334221627549982	0.303729245005271	0.0194343540662536	0.0259622205949046
A549_G1_1B_2	0.00917255868263336	0.00799215100959205	0.00991095128152228	0.0129849011668273	0	0.00284949244997787	0.0272349549733743	0.0051018876884297	0.0110317838874728	0.0133165508552338	0.0271377646714412	0.028338669754311	0.0156743319848138	0.0281752330840439	0.00577393809270495	0.00878727805891806	0.0393882673572585	0.0152586814655458	0.00797634336825072	0.0154829404251306	0.00962156630159719	0.0318191596401707	0.00467127090774293	0.00495239128830047	0.0038920809402678	0.0378487109316069	0.0182237785531101	0.0104674891732378	0.00856863801867934	0.00542878806207461	0.0204959172991458	0.0192449686130284	0.0174046943086593	0.0121929760260347	0.0128350068246516	0.0206227683917775	0.0210263792932386	0.0125571367473443	0.0376243407431004	0.0111680444735352	0.0305124274860474	0.0128553747177196	0.0169232165391926	0.0146992665608394	0.0133081914402326	0.0146428375697122	0.0239070984131151	0.00792640462082815	0.0260974937791992	0.00718883636344131	0.0232174986988694	0.00794345929498708	0.0112531491041868	0.0154290340183695	0.0317540078365425	0.0183594528122756	0.00657989465803863	0.00608507495989949	0.0129108957532296	0.0333241402169944	0.00842602552091163	0.0103389380880659	0.0222544827133062	0.0181265400568964	0.0117202463465771	0.0128044788380665	0.00841315747231936	0.0283294200553058	0.00806610663124713	0.0151692572592774	0.00662902301528533	0.023438638685006	0.0064893948264126	0.0113423646704607	0.0198401358195372	0.0219156210340231	0.0144927638763853	0.0283021484855971	0.0291619735443529	0.013110826005591	0.0240599259221517	0.0133430732729284	0.0233238530956972	0.0432254129030756	0.314643862187681	0.00975069177450045	0.0142350502060522
A549_G1_1B_3	0.0106734811688638	0.00817681607647453	0.0106692476566248	0.0130143783051663	0.00284949244997787	0	0.0277031202798965	0.00538245510243287	0.0121479869001531	0.0148901726540486	0.0275466514991077	0.0283683952162363	0.0162062926649896	0.0285522119157399	0.00440232832299916	0.00873508876651544	0.0393962793194363	0.0174851340484793	0.00998313069351182	0.0168021680228923	0.0102341919372056	0.0316980496456787	0.00296083562953607	0.0049766396983808	0.0038697499902842	0.038233589513208	0.0184998690070739	0.0111345501510816	0.00949677823712434	0.00365779770063836	0.0211749197001269	0.0198637250889	0.0191844180952735	0.0121818529434946	0.013309089801913	0.0219623837616706	0.0211274061004742	0.0138376251650496	0.0382599328423784	0.0115411406101789	0.0311493229114626	0.0156833132085661	0.0180507624679172	0.0147087152597987	0.0143331654365599	0.015104233974242	0.0241641168227063	0.00682131246759233	0.0254468071375521	0.00819805201901496	0.0231187581176695	0.00622440888224785	0.0107998097651363	0.0166307626346951	0.0319974966734633	0.0185152540397802	0.0055329718911317	0.00872886394577834	0.0138787082340825	0.0332167795259915	0.0102116596300185	0.0101406693751881	0.0225894451158744	0.0207410801489864	0.0145057397436728	0.0139617094785268	0.0101555532927282	0.02911577578537	0.00754612424519637	0.0159437838101343	0.00879576295791414	0.0233294573489858	0.00643242928777507	0.0132726891146112	0.0201806043854233	0.0225343610485533	0.015893786214125	0.0280089659394402	0.0294815941113119	0.0148611075059634	0.0236220299248506	0.0126543042551174	0.0238966018326544	0.0443984232090115	0.315027676768904	0.00910596488244683	0.0130939190831313
A549_G1_1C_1	0.0192953381398363	0.0236343533430344	0.0204691420983769	0.0399810682431853	0.0272349549733743	0.0277031202798965	0	0.0240827952266748	0.0173274306081797	0.0370036338459775	0.0530876097967526	0.00440341509788672	0.0115788590903135	0.00149554779013257	0.0250463884013361	0.0320575156896781	0.0134189335616485	0.0254037782949824	0.0256407720866271	0.0137611148470644	0.0211705965805728	0.0578070801001948	0.0252773301597827	0.0262799893939429	0.0304942083285592	0.013726665428781	0.0441181614727766	0.0174426896693391	0.0218908379963632	0.0308477414592805	0.0430092713966344	0.0442543838300122	0.0177165867636478	0.03941608507836	0.0145468274489042	0.0103461062171281	0.0472019595862125	0.0184335939885204	0.0124405911088257	0.0168319892921748	0.055164732900478	0.0299591707655463	0.0147206788098884	0.0144342434674047	0.0146198562082274	0.0126432315965141	0.0506043429716908	0.0244623910869292	0.0112937126330113	0.0329340912417878	0.00711365587339895	0.0335673876473149	0.0179057743411845	0.0358271104771081	0.00505757369681955	0.00955675324334611	0.022718049481346	0.0260507172261355	0.015715983276202	0.00943426555619678	0.0203306851331656	0.0184742771559031	0.00534754767382822	0.0249380190374206	0.0258270112566665	0.0149546640333884	0.0227104033211789	0.00380382308535165	0.0224917819979224	0.0409157670918289	0.0225591024000524	0.00665204017568561	0.0332179014335061	0.0204268543236941	0.00778662910653318	0.0113729157573814	0.0387685743105587	0.00975070483855659	0.00245727068166843	0.0192979232228357	0.00891865733396201	0.0402640041410946	0.0501282643242937	0.0681393356530918	0.339227473310578	0.0226250227535336	0.0179034836244222
A549_G1_1C_2	0.00884551041632937	0.0100093189209887	0.00533618615871599	0.0161658834866438	0.0051018876884297	0.00538245510243287	0.0240827952266748	0	0.00762905355234393	0.0150796973202789	0.0295856406630501	0.0249844167297644	0.0128796964658494	0.0250825731315157	0.00306239689058901	0.00845709096677404	0.0363399410589439	0.0134907701634367	0.0111652006984359	0.0125036924379641	0.0107384227520887	0.0339397737399223	0.0040304455844993	0.00828290896787586	0.00860340210199468	0.0357435643152604	0.0203797482235967	0.00674297269263533	0.00418757718462763	0.00743896613126969	0.0209358497842433	0.0210411607814109	0.0144534239596799	0.0161733905531065	0.00961174059531842	0.0187151879481416	0.0233398089934806	0.00875302510171057	0.0353293762946635	0.00973164840270617	0.0323523895465895	0.0152258157882736	0.0164148454813693	0.0130135006495584	0.0101662157825945	0.0118732543089352	0.026889591282882	0.00379421652803955	0.0233068035465663	0.00941211235111587	0.0203362812177705	0.0102704642566002	0.00733834974356219	0.0150393048708625	0.0285622748364772	0.0148707659632776	0.00415996191621168	0.00686554807121082	0.0119108149497651	0.0304871057478247	0.00643560219668412	0.00907242883202642	0.0193147399856827	0.0192016990876193	0.0126319120425479	0.0107034305729981	0.01029166073552	0.0251466371967042	0.00324711832266848	0.0175771813760969	0.00573500191674726	0.019952119332858	0.00937143354591993	0.00888638500590658	0.0163933824477976	0.0207996063296797	0.0165092565924848	0.0258662969628563	0.0260055074683617	0.0101431570804528	0.0206466539428907	0.0165627096744849	0.0271469597239588	0.0473747501252782	0.318648593457057	0.00484681305870811	0.0118748827910518
A549_G1_1C_3	0.00626452909830401	0.0118259539543534	0.00417169628611233	0.0230553450060009	0.0110317838874728	0.0121479869001531	0.0173274306081797	0.00762905355234393	0	0.0198062487473734	0.0357754338438204	0.0190308406237013	0.00684797688733823	0.0184962715900728	0.00981648336873118	0.0151979762776026	0.0302908213317876	0.0113171583295409	0.0122551637180447	0.00489031675281434	0.0105389057240823	0.0406386851621402	0.0103349739855205	0.0123817455453374	0.0148265248280254	0.0294818271683178	0.0268565023372742	0.00204555971410326	0.005035233948569	0.0149295836957156	0.0261178482991304	0.0269637038160007	0.00818413556796625	0.0229247986056939	0.00415834735629948	0.0116092627918377	0.0299766569559989	0.00338662759488826	0.0285492521736173	0.00700537786553131	0.0379629428958088	0.0155269523281711	0.0114769177503735	0.0096332724625695	0.00280940641768153	0.00627278080136123	0.0333938648312334	0.0095425356007575	0.0193702535980559	0.01572778633165	0.0151108252104113	0.0177864874036102	0.00635378518096827	0.0191108136407819	0.0221311599589236	0.0091531329526027	0.00854312925440909	0.00917049875058624	0.00754467241711038	0.0248726573294237	0.0036536961840017	0.00831870522451007	0.0130761611645528	0.0157300326963579	0.0114012485762821	0.00451059492375772	0.0100166756200358	0.0178827582328083	0.00741125702367997	0.0236071013151169	0.00582075119625756	0.0145227918685411	0.0164729713548505	0.00477843308413068	0.0100736262467242	0.0155111696312456	0.021534497976427	0.0210676618207149	0.0194872507624221	0.00495066827369174	0.016073508999665	0.0238452482799568	0.0332406172501261	0.0521111624509116	0.324068345080851	0.00821737433439237	0.0114822156248713
A549_G1_1D_1	0.0198675564719998	0.0207925581194259	0.0174713414216798	0.00952998228252657	0.0133165508552338	0.0148901726540486	0.0370036338459775	0.0150796973202789	0.0198062487473734	0	0.0166994628368458	0.0388082963512596	0.0262938332611013	0.0382247595985822	0.0165779304462043	0.00960402777776433	0.0500809081170001	0.0147953469578529	0.0174763864494677	0.0234288911729171	0.022020442435376	0.0226179232440076	0.0168689159394213	0.017725239182399	0.0136061572443564	0.0486688065553274	0.00937302713097514	0.0202464582655026	0.0159185233164592	0.0135042024725941	0.00935081807841939	0.00831649512619794	0.0217205292527199	0.0115007200039164	0.0233535699515679	0.0293986812726655	0.0124271821114698	0.0189961104125554	0.0476241007918566	0.0232370721540534	0.0185923925601655	0.0132089972139026	0.0275363800299138	0.0269667729022033	0.0224544348399815	0.0254969422055913	0.0152661323594239	0.0172329101459959	0.0381460987168867	0.00686103793353192	0.0345836476291913	0.0139091137860847	0.0222763990348978	0.0064071336458362	0.0418918021202083	0.0287901923720519	0.0187122900455477	0.0114640913358131	0.0240513078295103	0.0445619849452594	0.0169171659554774	0.0230622371016665	0.0328010525319052	0.0218224553633428	0.0143084371241019	0.0227753312398966	0.0190376525807446	0.0370302315255689	0.0177554784649492	0.00558993788619882	0.0149166956618584	0.0341208310965726	0.00983246013671065	0.0168422466937331	0.0298641186284257	0.033199258504246	0.00185934994784264	0.0402484743971001	0.0392375899198164	0.0183038494410709	0.0352662646387118	0.0128914135457491	0.0158981066594968	0.0345994404735474	0.306828306286765	0.0183980592171819	0.0267920869653184
