C95L1_1	C95L12_2	C95L2_2	C95L3_2	C95L4_3	C95L5_1	C95L7_1	C95L8_3	C95L9_1	C95N2_2	C95N3_1	C95P1a_3	C95P1c_3
3779	2516	3343	3998	8979	3856	15618	13856	6286	50	89	0	9185
11298	14642	15979	16082	29389	13947	29894	29379	26421	976	1007	22535	27586
2593	12084	12457	13161	18112	10487	4878	5713	19320	6971	6299	3209	23935
5803	7092	7955	6035	7094	6904	3806	7976	8643	21781	21186	5891	11291
8999	9326	10967	6934	8180	7445	5065	11983	10678	29520	29077	9775	15136
4098	3128	2787	2519	2966	3492	2185	5048	4247	15343	16300	3934	6917
2716	1674	1070	1138	1523	2066	897	2623	1958	6821	7613	2144	4101
1063	404	281	217	492	864	442	631	479	1305	1435	501	818
