C95L1_2	C95L12_2	C95L2_2	C95L3_1	C95L4_1	C95L5_2	C95L7_1	C95L8_1	C95L9_1	C95N2_2	C95N3_2	C95P1a_2	C95P1c_1
0	783	1842	2346	4399	567	166	5660	2807	0	0	927	6225
445	7169	15206	10131	24506	6334	2470	28177	18813	455	477	8678	20926
1794	1211	4765	1890	5768	1072	10419	4580	3998	2249	2323	25486	8093
3466	3704	9126	3590	9569	3408	15237	10812	9121	8749	8485	24257	10996
4072	7726	9299	6700	15415	6317	5938	20372	13699	22527	22480	21201	20498
4326	8017	9702	6704	13759	6236	4194	20584	10473	24998	24545	19264	20349
1980	2804	3087	2483	4744	1921	1685	7698	3004	13346	12707	6850	6471
1630	1843	3456	2314	3922	1771	1800	5350	3253	13473	12432	3909	5218
1400	1843	3608	1792	3381	1671	1563	5105	3405	13391	12662	3674	4914
826	1351	2289	1328	2450	1227	1031	3277	2385	8830	8370	2318	3511
160	222	485	558	626	250	320	926	585	1957	2004	513	645
