C95L1_1	C95L12_2	C95L2_3	C95L3_3	C95L4_1	C95L5_1	C95L7_1	C95L8_1	C95L9_1	C95N2_2	C95N3_2	C95P1a_2	C95P1c_1
138	6450	4142	1080	3849	1117	741	4500	5123	0	0	5122	5084
665	31031	20381	7912	25941	4200	11654	30100	29754	68	0	29525	29178
3134	23562	7837	3693	15199	3366	29138	12055	23686	109	116	13676	12611
1862	2435	12526	6668	12141	1333	13055	19728	9319	337	267	18073	18329
3115	678	1844	1349	1868	206	12824	3307	1382	1103	946	2729	2685
1210	2317	1209	634	891	305	2413	2106	1734	5015	4292	837	1880
2120	5497	3104	1278	2277	923	2080	4715	4245	12447	10786	2224	5081
3265	7910	4122	1753	3471	1382	3048	6910	6123	17099	15726	3796	8758
3227	9118	4544	1977	3924	1774	3836	7978	7062	19237	17486	4468	10065
895	3325	1159	542	1112	342	895	2870	2499	7685	7020	1324	3469
265	574	407	223	369	0	391	622	531	1562	1306	324	658
