C95L1_3	C95L12_2	C95L2_1	C95L3_3	C95L4_3	C95L5_1	C95L7_1	C95L8_2	C95L9_3	C95N2_1	C95N3_1	C95P1a_3	C95P1c_2
683	6879	3459	3708	9172	2518	3447	4397	10182	753	826	10220	14437
3932	20091	10636	11873	30647	9377	11758	20817	29682	5123	4492	30344	28579
8846	22363	6817	13098	21576	11037	24367	5554	27324	21697	16562	27496	28719
6337	12685	4856	6886	7738	7640	7164	6421	14812	28182	26533	9233	19358
2353	2611	1127	2065	1230	1706	2141	1086	2603	7526	5796	1476	3310
1797	2336	1184	1847	1495	1583	1141	1079	2342	7327	5380	1422	2669
2029	3778	1446	2087	2534	1355	1685	1876	4341	13545	9862	2265	5538
1970	4377	1648	2015	3220	1275	1958	2351	5464	17692	12624	3118	7620
1814	3947	1342	1356	3178	820	1214	1706	4640	14395	9931	2537	6169
416	783	344	306	608	302	401	474	936	3783	2706	628	1458
221	239	134	84	178	111	102	201	290	978	691	251	301
