C95L1_1	C95L12_3	C95L2_1	C95L3_3	C95L4_1	C95L5_3	C95L7_3	C95L8_1	C95L9_1	C95N2_2	C95N3_2	C95P1a_2	C95P1c_3
0	129	284	259	881	661	0	584	449	0	78	201	2875
168	8637	13430	10813	28852	5984	2091	16944	17966	67	239	6934	24991
1846	2030	8379	3040	8602	1959	13115	3810	4611	834	821	28641	6168
1497	6366	4838	7169	18130	3849	7799	12316	12731	4770	5243	29047	18941
3701	3576	4749	3493	7135	2190	2416	5904	6061	19809	21631	8590	9195
3833	4960	8280	5221	9567	3168	2534	8824	8579	29216	28794	9070	13602
1791	3235	4607	3266	4824	1607	1475	5086	4672	20914	22186	4809	7274
1197	2548	3312	2591	3779	1252	1240	4156	3771	15801	16446	3637	5677
223	607	850	697	898	330	224	920	878	3459	3367	857	1249
