C95L1_3	C95L12_3	C95L2_1	C95L3_1	C95L4_3	C95L5_3	C95L7_1	C95L8_1	C95L9_3	C95N2_1	C95N3_2	C95P1a_1	C95P1c_2
2363	1567	1142	1047	2519	1424	1620	4267	4533	91	0	6079	4290
708	4395	4741	3902	8317	4526	5102	8314	9004	487	259	16226	15175
1067	2926	4402	4306	9428	2056	6756	5251	8634	1612	1153	17123	18774
2023	1118	1855	1842	2610	972	3449	2017	3287	4885	3552	8677	5735
2375	1304	2254	1693	1726	990	1246	2002	3093	8560	6120	4932	4782
2153	1135	1872	1341	1114	1438	639	1801	2590	8323	5833	2677	4141
966	475	910	779	596	325	375	921	1062	4205	2994	1239	1550
837	510	857	821	646	315	237	1094	964	3729	2662	1096	1844
900	557	900	840	763	376	263	1291	1116	4493	3195	1385	2128
802	529	783	817	710	343	216	1055	1013	4171	2974	1237	1998
442	299	439	558	412	225	156	689	489	2416	1766	782	1167
