C95L1_2	C95L12_1	C95L2_1	C95L3_1	C95L4_1	C95L5_1	C95L7_1	C95L8_1	C95L9_1	C95N2_2	C95N3_2	C95P1a_1	C95P1c_1
138	1174	998	1123	2150	335	823	12415	2481	403	338	23745	3603
851	5837	7593	6119	15673	1852	6311	29872	14503	222	211	24313	24959
2149	12910	18657	12563	29150	4350	11022	14993	30561	260	264	13219	27539
849	5794	8797	1589	17278	2616	3136	15216	15279	494	621	12884	27991
560	652	687	0	1418	292	3327	1047	1368	769	667	19003	3196
439	350	281	71	445	81	2175	622	537	2705	2409	14240	1007
264	694	758	379	1066	232	660	1294	1222	8029	7619	5262	2039
540	1458	1797	870	1930	495	535	3196	2873	16524	16365	3863	5060
724	1884	2395	1175	2462	699	612	4364	3920	20831	20569	4015	7084
792	1787	2416	1112	2413	656	511	4427	4150	19851	19966	3895	7296
600	1229	1585	755	1532	440	307	2998	3072	12323	11877	2721	4717
175	318	353	242	392	152	0	902	799	3358	3001	516	1119
