C95L1_3	C95L12_1	C95L2_3	C95L3_1	C95L4_1	C95L5_3	C95L7_3	C95L8_3	C95L9_3	C95N2_3	C95N3_1	C95P1a_3	C95P1c_3
1999	1211	3330	2647	2571	3059	17888	1105	4214	108	0	13197	1554
5423	3930	7272	8265	7728	6838	29513	4042	10921	439	374	23135	5548
9961	6053	5837	13877	12303	12889	16254	8303	12434	1386	1494	15578	8282
12207	3382	6618	13816	11895	15313	9830	9146	8241	3468	3998	11215	5770
10183	2076	4180	8719	7608	11381	2404	4209	2494	6251	8135	2552	3718
8315	1522	3019	5934	5167	8142	2353	2545	1889	10580	14771	2168	2326
5967	1941	2657	4916	4074	6428	2659	2845	2626	15068	20944	2778	2769
3206	1946	2040	2760	2464	3420	2226	2727	2948	14741	20940	2557	2555
1044	914	881	1016	1032	1097	968	1204	1355	7544	10397	1117	1275
