C95L1_2	C95L12_1	C95L2_3	C95L3_1	C95L4_2	C95L5_1	C95L7_2	C95L8_1	C95L9_1	C95N2_2	C95N3_1	C95P1a_3	C95P1c_1
1895	2941	7678	2374	8215	2172	13464	1561	2709	100	156	10120	4853
7086	8200	5910	6084	10639	4689	2767	6157	9746	925	1134	21023	14243
3077	1793	1594	3596	2257	1634	19737	9967	7729	3254	4115	3434	6329
7743	6750	5287	5275	7880	4716	2637	9479	7859	10731	12113	9509	10908
4018	15144	10115	12650	16539	10544	3866	16529	15702	21372	22160	23524	23649
5326	7165	7029	6175	6041	8126	2861	7822	6755	28508	28910	14025	11712
4652	5425	5042	4400	3656	3408	2422	5752	5046	27566	26661	6054	9694
836	718	459	566	497	439	341	679	765	3274	2960	655	881
