C93L2_2	C93L3_2	C93L4_1	C93L5_1	C93L6_3	C93N1_1	C93N2_1	C93P1a_2	C93Ad1a_3	C93P1c_1	C93P1g_2	C93Ad1b_1	C93Ad1c_3
1041	1079	1074	615	242	2906	4069	3255	3041	3054	2003	1041	3542
2935	3255	3169	1985	891	7399	11629	10453	9706	10271	7375	3386	11527
5024	5805	5434	3710	1644	12212	20555	19170	17466	18641	12805	5781	20752
4287	5040	4612	3344	1392	10052	17304	16577	14744	15832	9954	5015	17765
1159	1327	1417	896	374	3301	5026	5026	3940	4587	3050	1378	5507
260	247	522	325	80	1040	1519	2324	937	1855	1700	464	2629
394	361	722	461	134	878	1870	2847	1304	2544	2277	641	3629
463	454	825	545	186	1097	2025	3148	1605	2714	2594	663	4487
421	364	705	484	204	887	1735	2294	1471	2151	1875	504	3855
