C93L2_1	C93L3_2	C93L4_2	C93L5_2	C93L6_1	C93N1_1	C93N2_2	C93P1a_1	C93Ad1a_1	C93P1c_1	C93P1g_1	C93Ad1b_1	C93Ad1c_1
243	233	398	198	483	748	442	906	1081	559	983	343	1023
781	730	1112	639	2061	2795	1471	2814	3887	2191	2927	1395	3591
2244	2105	2865	1789	4648	6688	3961	7932	9962	5597	8037	3501	9544
3077	2775	3585	2321	5454	8067	4924	10334	11949	7381	10595	4366	11989
2175	1849	2557	1820	3125	4531	2797	7635	6849	5317	7915	2506	8255
2082	1817	2330	1803	2958	3941	2555	7693	6151	5204	8077	1971	8465
1437	1489	1540	1244	2182	2549	1730	5300	4144	3764	5901	1254	6036
320	246	378	297	361	797	512	1625	1280	995	1608	340	1839
