C93L2_1	C93L3_2	C93L4_2	C93L5_1	C93L6_1	C93N1_2	C93N2_2	C93P1a_3	C93Ad1a_3	C93P1c_3	C93P1g_3	C93Ad1b_1	C93Ad1c_3
989	715	1267	588	2422	1117	1467	642	631	550	545	1229	593
2778	2058	3355	2474	3504	3301	3630	1782	1754	1473	1298	3562	1697
9060	6623	11857	8543	8299	12317	12889	5205	5538	4677	4176	11355	5322
17078	13207	21423	12757	9326	22258	23680	10822	11771	9556	8286	22244	10470
20303	16150	24842	15374	9873	27065	26500	14352	15394	12659	10458	28059	12748
16026	10590	15969	11319	8877	23489	21639	12176	12079	9534	8678	21068	10757
18096	11999	15648	10606	6787	26904	25240	13943	14413	11313	10357	24048	11836
1194	830	1053	1544	1763	1955	1909	927	1012	759	685	2308	1112
