C12-A_3	C12-AA_3	C12-AB_1	C12-AD_1	C12-AE-T_3	C12-E_3	C12-H-T1_3	C12-H-T2_3	C12-I_3	C12-J_3	C12-K_1	C12-L_3	C12-P-T1_3	C12-V_1	C12-W-L1_3	C12-C-L1_1	C12-Y-C1_3
0	104	839	330	178	382	321	235	139	770	398	801	387	301	139	420	0
0	682	2171	1707	1811	2149	1388	1065	714	2081	1474	2292	1821	1455	702	902	0
0	1259	344	3701	4225	3697	2915	2236	1645	292	2517	779	3650	3301	1548	333	0
0	580	581	2101	2339	2270	2041	920	2325	667	1111	983	2205	1888	868	535	0
0	696	1215	718	1645	1155	305	63	411	1211	123	593	401	309	111	0	0
494	128	387	182	260	272	195	130	124	172	188	115	311	118	0	0	166
2363	277	725	447	364	636	717	388	517	314	528	342	1067	360	171	122	717
4879	640	1566	1005	616	1438	1676	786	1167	756	1140	888	2470	825	376	241	1543
3619	508	1049	673	238	932	1174	504	900	476	844	593	1869	638	273	163	1097
