C12-A_3	C12-AA_1	C12-AB_1	C12-AD_3	C12-AE-T_2	C12-E_3	C12-H-T1_1	C12-H-T2_2	C12-I_2	C12-J_3	C12-K_3	C12-L_3	C12-P-T1_3	C12-V_3	C12-W-L1_1	C12-C-L1_1	C12-Y-C1_2
0	2984	2126	5825	3585	2985	26596	2487	1459	6091	9601	8366	2097	2880	2106	4135	173
236	26552	20517	30149	25977	23005	22776	27134	21303	30041	24991	30780	19705	21920	17191	22784	282
1468	13055	12864	3678	5750	3221	2967	18403	15475	3845	2982	3990	7103	15060	11931	2376	3012
7606	15763	5781	2345	10830	4574	5611	15242	5228	3130	2158	3157	10913	4781	3761	1762	16860
14525	16653	8104	3942	11981	7243	11130	11107	6544	5178	3668	5800	15564	5875	4503	2940	26170
6367	7851	3149	1610	2474	4161	4877	3467	2347	2010	1488	2161	4521	2181	1376	978	12852
7042	6156	3755	1936	1345	3061	4769	4411	2797	2382	1922	2608	4181	2790	1716	1155	13336
6807	3703	3620	1850	1145	2431	4466	3921	2802	2342	1776	2298	3906	2690	1629	1060	12406
2048	1239	1029	630	297	768	1408	1020	879	691	585	747	1200	851	437	330	2701
