C12-A_1	C12-AA_1	C12-AB_1	C12-AD_1	C12-AE-T_2	C12-E_2	C12-H-T1_2	C12-H-T2_2	C12-I_2	C12-J_2	C12-K_1	C12-L_1	C12-P-T1_2	C12-V_2	C12-W-L1_2	C12-C-L1_2	C12-Y-C1_1
0	110	235	220	124	689	519	251	257	438	379	327	330	5252	3692	618	0
0	155	464	375	129	1449	1493	231	396	1050	626	566	673	4905	3116	2205	0
0	571	1387	1149	368	3892	5504	606	1302	3600	2801	2227	1761	2415	1766	4395	0
0	1699	3119	3873	1602	5251	9043	2032	2589	6290	5727	4958	4440	2746	2424	4354	0
0	2722	3374	6618	3632	5640	5598	3801	2493	4115	5452	5257	6206	1570	1292	1956	0
0	2784	1841	6306	3790	4808	1222	3293	1190	851	2701	4416	4899	110	0	163	0
77	1832	340	3262	2627	1750	400	1353	176	0	836	2506	2173	560	288	0	0
88	570	0	453	1099	155	394	311	0	137	107	135	333	75	127	360	72
265	103	290	0	55	355	1344	226	196	782	390	201	232	537	434	660	223
784	369	652	815	83	1063	1797	617	393	1145	971	1124	1015	723	513	505	470
1612	602	762	1243	476	1460	945	975	425	444	707	1215	1390	416	278	290	1005
3723	752	660	1065	458	1322	1240	821	434	501	516	1409	1499	594	389	370	2142
5604	665	752	743	386	1178	1671	850	524	564	552	1197	1635	697	496	519	3096
6160	652	714	642	244	1100	1631	785	512	555	459	923	1495	780	581	502	3154
4807	466	534	492	215	901	1234	624	386	371	363	690	1149	595	447	370	2572
2944	279	304	335	142	538	653	339	187	172	217	368	676	267	214	168	1535
