C12-A_1	C12-AA_1	C12-AB_1	C12-AD_1	C12-AE-T_1	C12-E_1	C12-H-T1_1	C12-H-T2_1	C12-I_1	C12-J_1	C12-K_2	C12-L_1	C12-P-T1_1	C12-V_1	C12-W-L1_1	C12-C-L1_2	C12-Y-C1_2
57	2615	1823	1987	379	953	874	1838	367	1059	262	1201	565	755	244	449	53
74	14934	5886	11800	1686	6438	4283	6678	2088	6429	2042	5526	3837	4102	975	2023	0
91	4375	16574	4464	5068	11036	12810	16120	6377	7257	6116	15965	12927	12456	3266	5877	0
230	1508	2226	6269	4599	6796	2688	1750	4269	6201	2702	9760	7562	7666	2412	3432	83
397	1049	727	895	673	2391	464	386	3605	863	456	1636	2144	1547	364	576	178
2683	1311	1268	634	123	596	666	716	1572	477	669	801	1680	1422	228	281	1034
7634	2233	3606	1573	272	1841	2338	2300	2670	1339	1893	2254	3963	3037	718	764	2801
12908	3647	6103	3030	471	3468	4334	4625	4893	2589	3421	4592	7083	4978	1210	1472	4898
12660	3352	6317	3083	425	3641	4619	4827	4707	2443	3230	4710	7461	4713	1100	1586	5081
