C12-A_2	C12-AA_1	C12-AB_3	C12-AD_2	C12-AE-T_2	C12-E_1	C12-H-T1_2	C12-H-T2_1	C12-I_1	C12-J_1	C12-K_1	C12-L_2	C12-P-T1_1	C12-V_1	C12-W-L1_2	C12-C-L1_2	C12-Y-C1_1
0	6900	9986	8204	14030	18209	6454	6087	2107	9126	4743	8541	9534	12411	4302	2967	81
0	2448	6790	5737	3509	10667	2274	2116	5942	2202	2288	3743	3462	3764	1870	602	0
478	4025	658	685	6239	7505	4017	3991	3413	4610	2206	4717	4725	6326	2720	1304	73
1951	1333	473	172	3720	1372	718	736	3420	2103	310	700	900	2367	420	1220	315
7410	650	1445	569	650	1301	1040	756	1382	709	496	728	1171	1075	397	326	1591
14786	1356	3052	1121	979	2769	2407	1746	2069	1318	1077	1652	2698	2163	738	457	3359
13171	1226	3085	1182	825	2901	2401	1810	1957	1298	1086	1685	2774	2201	691	352	3569
7841	619	1823	692	488	1678	1482	1135	960	798	625	952	1623	1180	428	178	2312
4054	292	914	309	256	934	723	481	569	432	328	536	771	664	211	108	1237
