C12-A_3	C12-AA_1	C12-AB_1	C12-AD_2	C12-AE-T_3	C12-E_3	C12-H-T1_2	C12-H-T2_1	C12-I_1	C12-J_2	C12-K_1	C12-L_2	C12-P-T1_1	C12-V_3	C12-W-L1_2	C12-C-L1_2	C12-Y-C1_2
0	2154	289	5185	2049	2239	5132	318	220	909	444	4532	263	1363	2069	7297	60
56	11875	3122	21359	10171	14194	17050	6893	9773	9299	10145	16290	3692	13705	12772	19245	0
183	19494	14533	20184	20862	26550	8048	17657	20838	21317	22935	22243	18835	26187	25596	10152	58
472	13397	17606	18873	12092	18026	10852	14696	9791	14048	14100	9306	20724	19834	16915	12209	284
4365	2759	2757	3171	1826	2516	1882	2955	1501	1754	1796	1698	4375	3155	2598	1792	4700
11498	2616	4029	2635	668	2453	3616	2466	2532	1820	1684	2418	3929	3120	1295	1288	13557
20777	5793	9671	6605	1739	5984	9221	6238	6729	4489	4690	5667	9885	6709	3318	3290	24453
21252	5762	9688	6842	1579	6221	10373	6488	7165	4489	4504	5868	10976	6700	3082	2855	24166
